director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,treading water,Comedy Drama,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,savage grace,Drama,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,out of the blue,Crime Drama,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,police academy,Comedy,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,the blue lagoon,Adventure Drama Romance,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,four weddings and a funeral,Comedy Drama Romance,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,fast times at ridgemont high,Comedy Drama,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
John Huston,Royal Dano,Richard Basehart,James Robertson Justice,moby dick,Adventure Drama,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,25th hour,Drama,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
unknown,Dan Fogler,Indiana Evans,KaDee Strickland,secrets and lies            ,Crime Drama,Dan Fogler Indiana Evans KaDee Strickland unknown Crime Drama
Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,bound,Crime Drama Romance Thriller,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,requiem for a dream,Drama,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,state fair,Musical Romance,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,tango,Drama Musical,Mía Maestro Juan Luis Galiardo Miguel Ángel Solá Carlos Saura Drama Musical
Oliver Stone,Jim Belushi,John Savage,Juan Fernández,salvador,Drama History Thriller War,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,moms' night out,Comedy,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,donnie darko,Drama Sci-Fi Thriller,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,saving private perez,Adventure Comedy Western,Jaime Camil Gerardo Taracena Joaquín Cosio Beto Gómez Adventure Comedy Western
Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,character,Crime Drama Mystery,Jan Decleir Fedja van Huêt Hans Kesting Mike van Diem Crime Drama Mystery
Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,spun,Comedy Crime Drama,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,life during wartime,Comedy Drama,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,lady vengeance,Crime Drama,Min-sik Choi Yeong-ae Lee Hye-jeong Kang Chan-wook Park Crime Drama
René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,mozart's sister,Biography Drama Music Romance,Nicolas Giraud Clovis Fouin Marie Féret René Féret Biography Drama Music Romance
Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,mean machine,Comedy Drama Sport,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,exiled,Action Crime Thriller,Simon Yam Anthony Chau-Sang Wong Josie Ho Johnnie To Action Crime Thriller
Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,blackthorn,Action Adventure Western,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,lilya 4-ever,Crime Drama,Oksana Akinshina Artyom Bogucharskiy Lyubov Agapova Lukas Moodysson Crime Drama
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,after.life,Drama Horror Mystery Thriller,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,fugly,Drama Thriller,Jimmy Shergill Sana Saeed Dimple Kapadia Kabir Sadanand Drama Thriller
Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,one flew over the cuckoo's nest,Drama,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,r.l. stine's monsterville: the cabinet of souls,Comedy,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,silent movie,Comedy Romance,Sid Caesar Dom DeLuise Bernadette Peters Mel Brooks Comedy Romance
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,airlift,Action Drama History Thriller War,Nimrat Kaur Sameer Ali Khan Purab Kohli Raja Menon Action Drama History Thriller War
unknown,Zack Ward,Jonathan Crombie,Megan Follows,anne of green gables            ,Drama Family,Zack Ward Jonathan Crombie Megan Follows unknown Drama Family
Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,falcon rising,Action Adventure,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,the sweeney,Action Crime Drama,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,sexy beast,Crime Thriller,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,easy money,Action Crime Drama Thriller,Fabian Bolin Fares Fares Matias Varela Daniel Espinosa Action Crime Drama Thriller
Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,whale rider,Drama Family,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,paa,Comedy Drama,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,cargo,Mystery Sci-Fi Thriller,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,pan,Adventure Family Fantasy,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,high school musical,Comedy Drama Family Music Musical Romance,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
unknown,Dorian Missick,Daniella Alonso,Ellen Barkin,animal kingdom            ,Crime Drama,Dorian Missick Daniella Alonso Ellen Barkin unknown Crime Drama
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,love and death on long island,Comedy Drama,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,night watch,Fantasy Thriller,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller
Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,the crying game,Crime Drama Romance Thriller,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
Bob Clark,Art Hindle,Susan Clark,Tony Ganios,porky's,Comedy,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,survival of the dead,Horror,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,lost in translation,Drama,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,annie hall,Comedy Romance,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,the greatest show on earth,Drama Family Romance,Gloria Grahame Dorothy Lamour Cornel Wilde Cecil B. DeMille Drama Family Romance
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,exodus: gods and kings,Action Adventure Drama,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown,monster's ball,Drama Romance,Heath Ledger Peter Boyle Marcus Lyle Brown Marc Forster Drama Romance
Henry Hobson,Joely Richardson,J.D. Evermore,David A Cole,maggie,Drama Horror,Joely Richardson J.D. Evermore David A Cole Henry Hobson Drama Horror
Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,leaving las vegas,Drama Romance,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance
Duane Journey,Molly C. Quinn,Lara Flynn Boyle,Lochlyn Munro,hansel & gretel get baked,Comedy Horror,Molly C. Quinn Lara Flynn Boyle Lochlyn Munro Duane Journey Comedy Horror
Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph,the return of the living dead,Comedy Horror Sci-Fi,Linnea Quigley Clu Gulager Beverly Randolph Dan O'Bannon Comedy Horror Sci-Fi
Billy Wilder,Austin Pendleton,Harold Gould,David Wayne,the front page,Comedy Drama Romance,Austin Pendleton Harold Gould David Wayne Billy Wilder Comedy Drama Romance
Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,the boy next door,Mystery Thriller,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller
Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,trapeze,Drama Romance,Gina Lollobrigida Katy Jurado Sidney James Carol Reed Drama Romance
unknown,Holly Hunter,Dylan Minnette,Bokeem Woodbine,saving grace            ,Drama Fantasy,Holly Hunter Dylan Minnette Bokeem Woodbine unknown Drama Fantasy
Lisa Cholodenko,Josh Hutcherson,Mia Wasikowska,Yaya DaCosta,the kids are all right,Comedy Drama,Josh Hutcherson Mia Wasikowska Yaya DaCosta Lisa Cholodenko Comedy Drama
John Carpenter,Meg Foster,Peter Jason,George 'Buck' Flower,they live,Horror Sci-Fi Thriller,Meg Foster Peter Jason George 'Buck' Flower John Carpenter Horror Sci-Fi Thriller
John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,the great escape,Adventure Drama History Thriller War,James Coburn Donald Pleasence Gordon Jackson John Sturges Adventure Drama History Thriller War
William Arntz,Marlee Matlin,Elaine Hendrix,Armin Shimerman,what the #$*! do we (k)now!?,Comedy Documentary Drama Fantasy Mystery Sci-Fi,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
Ed Gass-Donnelly,Muse Watson,Spencer Treat Clark,Ashley Bell,the last exorcism part ii,Drama Horror Thriller,Muse Watson Spencer Treat Clark Ashley Bell Ed Gass-Donnelly Drama Horror Thriller
Richard Linklater,Ellar Coltrane,Lorelei Linklater,Libby Villari,boyhood,Drama,Ellar Coltrane Lorelei Linklater Libby Villari Richard Linklater Drama
Woody Allen,Scarlett Johansson,Kevin McNally,Geoff Bell,scoop,Comedy Crime Mystery,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,planet of the apes,Action Adventure Sci-Fi Thriller,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action Adventure Sci-Fi Thriller
DJ Pooh,Angell Conwell,Dr. Dre,DJ Pooh,the wash,Comedy,Angell Conwell Dr. Dre DJ Pooh DJ Pooh Comedy
DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,3 strikes,Comedy,Mo'Nique Mike Epps Faizon Love DJ Pooh Comedy
Wayne Kramer,Estella Warren,Paul Sorvino,Shawn Hatosy,the cooler,Crime Drama Fantasy Romance,Estella Warren Paul Sorvino Shawn Hatosy Wayne Kramer Crime Drama Fantasy Romance
John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,the misfits,Drama Romance Western,Montgomery Clift Kevin McCarthy Thelma Ritter John Huston Drama Romance Western
Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,the night listener,Crime Mystery Thriller,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller
James Melkonian,Vincent Pastore,William Hickey,Peter Appel,the jerky boys,Comedy Crime,Vincent Pastore William Hickey Peter Appel James Melkonian Comedy Crime
Wes Craven,Frank Grillo,Emily Meade,Zena Grey,my soul to take,Horror Mystery Thriller,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller
J.A. Bayona,Geraldine Chaplin,Belén Rueda,Fernando Cayo,the orphanage,Drama Mystery Thriller,Geraldine Chaplin Belén Rueda Fernando Cayo J.A. Bayona Drama Mystery Thriller
Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,a haunted house 2,Comedy Fantasy,Ashley Rickards Essence Atkins Gabriel Iglesias Michael Tiddes Comedy Fantasy
Roger Avary,Ian Somerhalder,Faye Dunaway,Clifton Collins Jr.,the rules of attraction,Comedy Drama Romance,Ian Somerhalder Faye Dunaway Clifton Collins Jr. Roger Avary Comedy Drama Romance
Alfred Hitchcock,Roscoe Lee Browne,John Vernon,Philippe Noiret,topaz,Drama Thriller,Roscoe Lee Browne John Vernon Philippe Noiret Alfred Hitchcock Drama Thriller
Bob Odenkirk,Dylan Baker,Chi McBride,Amy Hill,let's go to prison,Comedy Crime,Dylan Baker Chi McBride Amy Hill Bob Odenkirk Comedy Crime
Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,four rooms,Comedy Fantasy,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy
Steven Shainberg,Jeremy Davies,Stephen McHattie,Lesley Ann Warren,secretary,Comedy Drama Romance,Jeremy Davies Stephen McHattie Lesley Ann Warren Steven Shainberg Comedy Drama Romance
Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,the real cancun,Documentary,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary
Oliver Stone,Michael Wincott,Zach Grenier,Bill Johnson,talk radio,Drama,Michael Wincott Zach Grenier Bill Johnson Oliver Stone Drama
Christopher Guest,Catherine O'Hara,Fred Willard,Larry Miller,waiting for guffman,Comedy,Catherine O'Hara Fred Willard Larry Miller Christopher Guest Comedy
Jeff Franklin,Ivana Milicevic,Tyra Banks,Bridgette Wilson-Sampras,love stinks,Comedy,Ivana Milicevic Tyra Banks Bridgette Wilson-Sampras Jeff Franklin Comedy
John Dahl,Philip Baker Hall,Aaron Hughes,Jayne Eastwood,you kill me,Comedy Crime Romance Thriller,Philip Baker Hall Aaron Hughes Jayne Eastwood John Dahl Comedy Crime Romance Thriller
Mike Mills,Kelli Garner,Lou Taylor Pucci,Nancy O'Dell,thumbsucker,Comedy Drama,Kelli Garner Lou Taylor Pucci Nancy O'Dell Mike Mills Comedy Drama
Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,red state,Action Crime Horror Thriller,Anna Gunn Michael Angarano Stephen Root Kevin Smith Action Crime Horror Thriller
Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,mirrormask,Adventure Fantasy,Stephanie Leonidas Gina McKee Rob Brydon Dave McKean Adventure Fantasy
Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,samsara,Documentary Music,Collin Alfredo St. Dic Balinese Tari Legong Dancers Puti Sri Candra Dewi Ron Fricke Documentary Music
Ruggero Deodato,Michael Berryman,Eva LaRue,Richard Lynch,the barbarians,Adventure Fantasy,Michael Berryman Eva LaRue Richard Lynch Ruggero Deodato Adventure Fantasy
Gavin Wiesen,Michael Angarano,Blair Underwood,Rita Wilson,the art of getting by,Drama Romance,Michael Angarano Blair Underwood Rita Wilson Gavin Wiesen Drama Romance
Mora Stephens,Ray Winstone,Alexandra Breckenridge,Elena Satine,zipper,Drama Thriller,Ray Winstone Alexandra Breckenridge Elena Satine Mora Stephens Drama Thriller
Mars Callahan,Chazz Palminteri,Ricky Schroder,Ernie Reyes Jr.,poolhall junkies,Drama Thriller,Chazz Palminteri Ricky Schroder Ernie Reyes Jr. Mars Callahan Drama Thriller
Mike Figgis,Kelly Macdonald,Saffron Burrows,Julian Sands,the loss of sexual innocence,Drama,Kelly Macdonald Saffron Burrows Julian Sands Mike Figgis Drama
Leos Carax,Kylie Minogue,Leos Carax,Denis Lavant,holy motors,Drama Fantasy,Kylie Minogue Leos Carax Denis Lavant Leos Carax Drama Fantasy
David Gordon Green,Nicolas Cage,Tye Sheridan,Ronnie Gene Blevins,joe,Drama,Nicolas Cage Tye Sheridan Ronnie Gene Blevins David Gordon Green Drama
Stefan Schwartz,Peter McNamara,Dan Futterman,Ralph Ineson,shooting fish,Comedy Crime Romance,Peter McNamara Dan Futterman Ralph Ineson Stefan Schwartz Comedy Crime Romance
Renny Harlin,Viggo Mortensen,Lane Smith,Hal Landon Jr.,prison,Crime Drama Horror Thriller,Viggo Mortensen Lane Smith Hal Landon Jr. Renny Harlin Crime Drama Horror Thriller
Robert Lee King,Lauren Ambrose,Kathleen Robertson,Beth Broderick,psycho beach party,Comedy Horror Mystery,Lauren Ambrose Kathleen Robertson Beth Broderick Robert Lee King Comedy Horror Mystery
Kevin Allen,Craig Ferguson,Frances Fisher,Mary McCormack,the big tease,Comedy,Craig Ferguson Frances Fisher Mary McCormack Kevin Allen Comedy
Jorge Ramírez Suárez,Hector Kotsifakis,Adriana Barraza,Arcelia Ramírez,"buen día, ramón",Drama,Hector Kotsifakis Adriana Barraza Arcelia Ramírez Jorge Ramírez Suárez Drama
David Schwimmer,Noah Emmerich,Jordan Trovillion,Zoe Levin,trust,Crime Drama Thriller,Noah Emmerich Jordan Trovillion Zoe Levin David Schwimmer Crime Drama Thriller
Barry Levinson,Anna Friel,Brían F. O'Byrne,Pauline McLynn,an everlasting piece,Comedy,Anna Friel Brían F. O'Byrne Pauline McLynn Barry Levinson Comedy
Sam Miller,Rachel Griffiths,Alan Williams,Rob Jarvis,among giants,Comedy Romance,Rachel Griffiths Alan Williams Rob Jarvis Sam Miller Comedy Romance
Anne Fontaine,Robin Wright,Naomi Watts,Ben Mendelsohn,adore,Drama Romance,Robin Wright Naomi Watts Ben Mendelsohn Anne Fontaine Drama Romance
Dan Ireland,Salma Hayek,Danny Arroyo,Olivia d'Abo,the velocity of gary,Comedy Drama Romance,Salma Hayek Danny Arroyo Olivia d'Abo Dan Ireland Comedy Drama Romance
Fernando León de Aranoa,Luis Tosar,Enrique Villén,Aida Folch,mondays in the sun,Comedy Drama,Luis Tosar Enrique Villén Aida Folch Fernando León de Aranoa Comedy Drama
Jim Mickle,Connor Paolo,Michael Cerveris,Nick Damici,stake land,Drama Horror Sci-Fi,Connor Paolo Michael Cerveris Nick Damici Jim Mickle Drama Horror Sci-Fi
unknown,Doug Brochu,Tiffany Thornton,Brandon Mychal Smith,sonny with a chance            ,Comedy Family Romance,Doug Brochu Tiffany Thornton Brandon Mychal Smith unknown Comedy Family Romance
Stephen Kay,Keanu Reeves,Marg Helgenberger,Gretchen Mol,the last time i committed suicide,Biography Drama,Keanu Reeves Marg Helgenberger Gretchen Mol Stephen Kay Biography Drama
Karim Aïnouz,Wagner Moura,Clemens Schick,Jesuíta Barbosa,futuro beach,Drama,Wagner Moura Clemens Schick Jesuíta Barbosa Karim Aïnouz Drama
Sam Levinson,George Kennedy,Ezra Miller,Demi Moore,another happy day,Comedy Drama,George Kennedy Ezra Miller Demi Moore Sam Levinson Comedy Drama
Julian Gilbey,Ed Speleers,Eamonn Walker,Sean Harris,a lonely place to die,Action Adventure Crime Thriller,Ed Speleers Eamonn Walker Sean Harris Julian Gilbey Action Adventure Crime Thriller
Vincenzo Natali,David Hewlett,Angelo Tsarouchas,Marie-Josée Croze,nothing,Comedy Fantasy,David Hewlett Angelo Tsarouchas Marie-Josée Croze Vincenzo Natali Comedy Fantasy
Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,Eugenia Khirivskaya,the geographer drank his globe away,Adventure Drama,Konstantin Khabenskiy Elena Lyadova Eugenia Khirivskaya Aleksandr Veledinskiy Adventure Drama
Peter H. Hunt,Blythe Danner,Ken Howard,Howard Caine,1776,Drama Family History Musical,Blythe Danner Ken Howard Howard Caine Peter H. Hunt Drama Family History Musical
Ruba Nadda,Saad Siddiqui,Bonnie Lee Bouman,Fadia Nadda,inescapable,Drama Mystery Romance Thriller,Saad Siddiqui Bonnie Lee Bouman Fadia Nadda Ruba Nadda Drama Mystery Romance Thriller
Howard Hughes,Jean Harlow,Marian Marsh,James Hall,hell's angels,Drama War,Jean Harlow Marian Marsh James Hall Howard Hughes Drama War
Edward Burns,Debra Messing,Rosemarie DeWitt,Peter Jacobson,purple violets,Comedy Drama Romance,Debra Messing Rosemarie DeWitt Peter Jacobson Edward Burns Comedy Drama Romance
Phil Joanou,Lily Rabe,Shannon Woodward,Kira McLean,the veil,Horror,Lily Rabe Shannon Woodward Kira McLean Phil Joanou Horror
Sean Byrne,Robin McLeavy,Jessica McNamee,Victoria Thaine,the loved ones,Horror Thriller,Robin McLeavy Jessica McNamee Victoria Thaine Sean Byrne Horror Thriller
Chris Stokes,Kristen Quintrall,Rachel Sterling,Black Thomas,no vacancy,Horror,Kristen Quintrall Rachel Sterling Black Thomas Chris Stokes Horror
Mark Griffiths,Eric Mabius,Gina Holden,Brooke D'Orsay,how to fall in love,Comedy Romance,Eric Mabius Gina Holden Brooke D'Orsay Mark Griffiths Comedy Romance
Bruce Macdonald,Rachel Hendrix,Cheryl Ladd,Diana Vickers,the perfect wave,Adventure Biography Drama Romance,Rachel Hendrix Cheryl Ladd Diana Vickers Bruce Macdonald Adventure Biography Drama Romance
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,ben-hur,Adventure Drama History,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History
Fred Zinnemann,Robert Shaw,Susannah York,Paul Scofield,a man for all seasons,Biography Drama History,Robert Shaw Susannah York Paul Scofield Fred Zinnemann Biography Drama History
Sidney Lumet,Robert Duvall,Faye Dunaway,William Holden,network,Drama Romance,Robert Duvall Faye Dunaway William Holden Sidney Lumet Drama Romance
Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,gone with the wind,Drama History Romance War,Hattie McDaniel George Reeves Thomas Mitchell Victor Fleming Drama History Romance War
Richard Raymond,Tom Cullen,Reece Ritchie,Marama Corlett,desert dancer,Biography Drama,Tom Cullen Reece Ritchie Marama Corlett Richard Raymond Biography Drama
Sam Peckinpah,James Coburn,Slim Pickens,Warren Oates,major dundee,Adventure War Western,James Coburn Slim Pickens Warren Oates Sam Peckinpah Adventure War Western
Alan Jacobs,Snoop Dogg,Laz Alonso,Nicholas Gonzalez,down for life,Drama,Snoop Dogg Laz Alonso Nicholas Gonzalez Alan Jacobs Drama
George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,annie get your gun,Biography Comedy Musical Romance Western,Keenan Wynn Howard Keel Betty Hutton George Sidney Biography Comedy Musical Romance Western
Christopher Morris,Kayvan Novak,Riz Ahmed,Alex Macqueen,four lions,Comedy Crime Drama,Kayvan Novak Riz Ahmed Alex Macqueen Christopher Morris Comedy Crime Drama
Andrucha Waddington,Fernanda Montenegro,Seu Jorge,Fernanda Torres,house of sand,Drama,Fernanda Montenegro Seu Jorge Fernanda Torres Andrucha Waddington Drama
Peter Stebbings,Michael Kelly,Tony Nappo,Charlotte Sullivan,defendor,Comedy Crime Drama,Michael Kelly Tony Nappo Charlotte Sullivan Peter Stebbings Comedy Crime Drama
Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,the pirate,Adventure Comedy Musical Romance,Gladys Cooper Reginald Owen Ellen Ross Vincente Minnelli Adventure Comedy Musical Romance
Dagur Kári,Alice Olivia Clarke,Susan Blommaert,Stephen Henderson,the good heart,Drama,Alice Olivia Clarke Susan Blommaert Stephen Henderson Dagur Kári Drama
Nicholas Hytner,Dominic Cooper,Russell Tovey,James Corden,the history boys,Comedy Drama,Dominic Cooper Russell Tovey James Corden Nicholas Hytner Comedy Drama
Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn,unknown,Action Mystery Thriller,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller
unknown,David Ogden Stiers,Jamie Farr,Mike Farrell,m*a*s*h            ,Comedy Drama War,David Ogden Stiers Jamie Farr Mike Farrell unknown Comedy Drama War
John Schlesinger,Brenda Vaccaro,Barnard Hughes,John McGiver,midnight cowboy,Drama,Brenda Vaccaro Barnard Hughes John McGiver John Schlesinger Drama
Jim Abrahams,Peter Graves,Lloyd Bridges,Barbara Billingsley,airplane!,Comedy,Peter Graves Lloyd Bridges Barbara Billingsley Jim Abrahams Comedy
Kevin Carraway,Michael Jai White,Max Ryan,Jon Osbeck,chain of command,Action Thriller,Michael Jai White Max Ryan Jon Osbeck Kevin Carraway Action Thriller
F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,friday,Comedy Drama,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,menace ii society,Crime Drama Thriller,Jada Pinkett Smith Larenz Tate Khandi Alexander Albert Hughes Crime Drama Thriller
unknown,Ta'Rhonda Jones,Gabourey Sidibe,Malik Yoba,empire            ,Drama Music,Ta'Rhonda Jones Gabourey Sidibe Malik Yoba unknown Drama Music
Michael Gornick,George Kennedy,Holt McCallany,Dorothy Lamour,creepshow 2,Comedy Fantasy Horror Thriller,George Kennedy Holt McCallany Dorothy Lamour Michael Gornick Comedy Fantasy Horror Thriller
Sam Peckinpah,Slim Pickens,Jason Robards,L.Q. Jones,the ballad of cable hogue,Comedy Drama Romance Western,Slim Pickens Jason Robards L.Q. Jones Sam Peckinpah Comedy Drama Romance Western
Richard Brooks,John Forsythe,Robert Blake,Will Geer,in cold blood,Biography Crime Drama History,John Forsythe Robert Blake Will Geer Richard Brooks Biography Crime Drama History
Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,the nun's story,Drama,Colleen Dewhurst Peter Finch Beatrice Straight Fred Zinnemann Drama
Jack Smight,Janet Leigh,Robert Wagner,Shelley Winters,harper,Action Crime Drama Mystery Thriller,Janet Leigh Robert Wagner Shelley Winters Jack Smight Action Crime Drama Mystery Thriller
